"Ghazanfar Brothers
Purchase Detail Report
Date From: 25-09-2001    To: 04-07-2026",,,,,,,
Date Time,Item,Unit Name,Unit Number,Quantity,Purchase Price,Amount,Account Name
06-Dec-25 ,122 Sogo Dish Heater,,2,2,7100,"14,200",Yaseen Sahab Sogo Walai
,,,,2.00,,"14,200.00",
Stock ID: 124-10301 ,,,,,,,
06-Dec-25 ,777 MH Kettle,,276,276,1050,"289,800",Multy Net Mehdi Bhai
06-Dec-25 ,30 litter grill microwave,,30,30,20000,"600,000",Multy Net Mehdi Bhai
,,,,306.00,,"889,800.00",
Stock ID: 124-10305 ,,,,,,,
06-Dec-25 ,333 Angeleno 3in1 Juicer,,1,1,18500,"18,500",Angeleno Madina Bara Center
,,,,1.00,,"18,500.00",
Stock ID: 124-10337 ,,,,,,,
06-Dec-25 ,014 Seco Fan Heater,,36,36,2225,"80,100",Abid Bhai Seco 
06-Dec-25 ,016 Seco Fan Heater,,80,80,2325,"186,000",Abid Bhai Seco 
06-Dec-25 ,012 Seco Fan Heater,,72,72,1800,"129,600",Abid Bhai Seco 
,,,,188.00,,"395,700.00",
Stock ID: 124-10338 ,,,,,,,
06-Dec-25 ,8084 ND National Blender DD,,6,6,3045,"18,270",National Distributor
,,,,6.00,,"18,270.00",
Stock ID: 124-10339 ,,,,,,,
06-Dec-25 ,925 MO Microwave Oven,,25,25,20000,"500,000",Sitara Traders Micro Deal 
06-Dec-25 ,925 MO Microwave Oven,,25,25,20000,"500,000",Sitara Traders Micro Deal 
,,,,50.00,,"1,000,000.00",
Stock ID: 124-10340 ,,,,,,,
06-Dec-25 ,222 Kenwood Microwave Oven,,56,56,11300,"632,800",Sitara Traders Micro Deal 
06-Dec-25 ,222 Kenwood Microwave Oven,,25,25,11300,"282,500",Sitara Traders Micro Deal 
06-Dec-25 ,222 Kenwood Microwave Oven,,25,25,11300,"282,500",Sitara Traders Micro Deal 
,,,,106.00,,"1,197,800.00",
Stock ID: 124-10341 ,,,,,,,
06-Dec-25 ,Kettle China National,,320,320,780,"249,600",Sitara Trading Company
,,,,320.00,,"249,600.00",
Stock ID: 124-10358 ,,,,,,,
06-Dec-25 ,192 Anex 4in1 Juicer,,2,2,13741,"27,482",Anex Company Farrukh Sahab
,,,,2.00,,"27,482.00",
Stock ID: 124-10362 ,,,,,,,
06-Dec-25 ,176 Anex Juicer 3in1,,9,9,12012,"108,108",Anex Company Farrukh Sahab
,,,,9.00,,"108,108.00",
Stock ID: 124-10377 ,,,,,,,
06-Dec-25 ,Kaim 3in1 Juicer,,1300,"1,300",73,"94,900",Babar Bhai Kaim
,,,,"1,300.00",,"94,900.00",
Stock ID: 124-10378 ,,,,,,,
05-Dec-25 ,20L Orient Puf Microwave Oven,,75,75,12000,"900,000",Electro Gallary Abid Market
,,,,75.00,,"900,000.00",
Stock ID: 124-10415 ,,,,,,,
08-Dec-25 ,763 ND National Food Processor,,4,4,9222,"36,888",National Distributor
,,,,4.00,,"36,888.00",
Stock ID: 124-10418 ,,,,,,,
25-Nov-25 ,006 kettle 1.7 litter,,24,24,1650,"39,600",Sitara Trading Company
,,,,24.00,,"39,600.00",
Stock ID: 124-10425 ,,,,,,,
05-Dec-25 ,20L Orient Puf Microwave Oven,,25,25,12000,"300,000",Electro Gallary Abid Market
05-Dec-25 ,20L Orient Puf Microwave Oven,,50,50,12000,"600,000",Electro Gallary Abid Market
,,,,75.00,,"900,000.00",
Stock ID: 124-10426 ,,,,,,,
08-Dec-25 ,016 Seco Fan Heater,,136,136,2325,"316,200",Abid Bhai Seco 
,,,,136.00,,"316,200.00",
Stock ID: 124-10427 ,,,,,,,
08-Dec-25 ,7113 RAF Coffee Grinder,,72,72,910,"65,520",Baseer Bhai Mustafa Center
,,,,72.00,,"65,520.00",
Stock ID: 124-10428 ,,,,,,,
08-Dec-25 ,1802 Philips Sandwich Maker,,60,60,2150,"129,000",Multy Net Mehdi Bhai
08-Dec-25 ,1907 Panasonic Sandwich Maker,,140,140,2150,"301,000",Multy Net Mehdi Bhai
,,,,200.00,,"430,000.00",
Stock ID: 124-10429 ,,,,,,,
08-Dec-25 ,374 Dawlance Microwave Oven,,10,10,21500,"215,000",Farukh Bhai Dawlance 
08-Dec-25 ,374 Dawlance Microwave Oven,,15,15,21500,"322,500",Farukh Bhai Dawlance 
08-Dec-25 ,374 Dawlance Microwave Oven,,11,11,21500,"236,500",Farukh Bhai Dawlance 
,,,,36.00,,"774,000.00",
Stock ID: 124-10430 ,,,,,,,
08-Dec-25 ,555 Microwave Oven,,10,10,11400,"114,000",Sitara Traders Micro Deal 
,,,,10.00,,"114,000.00",
Stock ID: 124-10436 ,,,,,,,
08-Dec-25 ,925 MO Microwave Oven,,1,1,20000,"20,000",Sitara Traders Micro Deal 
,,,,1.00,,"20,000.00",
Stock ID: 124-10437 ,,,,,,,
08-Dec-25 ,222 Kenwood Microwave Oven,,104,104,11300,"1,175,200",Sitara Traders Micro Deal 
,,,,104.00,,"1,175,200.00",
