"Ghazanfar Brothers
Purchase Detail Report
Date From: 25-09-2001    To: 04-07-2026",,,,,,,
Date Time,Item,Unit Name,Unit Number,Quantity,Purchase Price,Amount,Account Name
18-Jun-26 ,MWP 20.010 Kenwood Microwave Oven,,2,2,12800,"25,600",Noshad Rasheed Center
18-Jun-26 ,MWP 20.020 Kenwood Microwave Oven,,2,2,13400,"26,800",Noshad Rasheed Center
,,,,6.00,,"78,000.00",
Stock ID: 124-28838 ,,,,,,,
18-Jun-26 ,Thermopore Sheet Juicer 3in1,,995,995,80,"79,600",Atif Electronics Gujranwala
,,,,995.00,,"79,600.00",
Stock ID: 124-28856 ,,,,,,,
18-Jun-26 ,60 mj panasonic blender,,324,324,0,,Saddam Bhai Jamal Center
18-Jun-26 ,555 St National Blender 7020CC,,276,276,0,,Saddam Bhai Jamal Center
,,,,600.00,,0.00,
Stock ID: 124-28862 ,,,,,,,
19-Jun-26 ,106 ND National Sandwich Maker Steel,,18,18,3132,"56,376",National Distributor
19-Jun-26 ,103 ND National Sandwich Maker Steel,,18,18,3132,"56,376",National Distributor
,,,,36.00,,"112,752.00",
Stock ID: 124-28863 ,,,,,,,
18-Jun-26 ,1040 GB National Gray Iron,,225,225,224.5,"50,512.5",Haider Sahab Iron
,,,,225.00,,"50,512.50",
Stock ID: 124-2888 ,,,,,,,
03-Oct-25 ,444 Microwave Oven,,5,5,11500,"57,500",Sitara Traders Micro Deal 
,,,,5.00,,"57,500.00",
Stock ID: 124-28882 ,,,,,,,
19-Jun-26 ,566 NS National 3in1 Juicer,,9,9,3939,"35,451",Sitara Trading Company
,,,,9.00,,"35,451.00",
Stock ID: 124-28883 ,,,,,,,
19-Jun-26 ,881 Kenwood Blender,,60,60,2475,"148,500",Sitara Trading Company
19-Jun-26 ,1582 Panasonic Blender,,30,30,2825,"84,750",Sitara Trading Company
19-Jun-26 ,882 Kenwood Blender,,60,60,2825,"169,500",Sitara Trading Company
,,,,150.00,,"402,750.00",
Stock ID: 124-28893 ,,,,,,,
19-Jun-26 ,8640 Kenwood Roti Maker,,6,6,7000,"42,000",National Distributor
,,,,6.00,,"42,000.00",
Stock ID: 124-28899 ,,,,,,,
19-Jun-26 ,9098 ND National Blender 1.5L,,6,6,3001.5,"18,009",National Distributor
19-Jun-26 ,9097 ND National Blender Glass,,6,6,3045,"18,270",National Distributor
19-Jun-26 ,9092 ND National Blender Glass,,6,6,3045,"18,270",National Distributor
,,,,18.00,,"54,549.00",
Stock ID: 124-28901 ,,,,,,,
19-Jun-26 ,532 Kenwood Blender,,18,18,2500,"45,000",Sitara Trading Company
,,,,18.00,,"45,000.00",
Stock ID: 124-28907 ,,,,,,,
19-Jun-26 ,2139 Anex Sandwich Maker 3in1,,3,3,10610.6,"31,831.8",Anex Company Farrukh Sahab
,,,,3.00,,"31,831.80",
Stock ID: 124-28910 ,,,,,,,
18-Jun-26 ,6786 Kenwood Air Fryer 12 Ltr,,6,6,14500,"87,000",Abid Bhai Seco 
,,,,6.00,,"87,000.00",
Stock ID: 124-28911 ,,,,,,,
19-Jun-26 ,763 ND National Food Processor,,4,4,9222,"36,888",National Distributor
19-Jun-26 ,2224 ND National 4in1 Juicer,,6,6,7743,"46,458",National Distributor
19-Jun-26 ,222 ND National Juicer,,30,30,7134,"214,020",National Distributor
,,,,40.00,,"297,366.00",
Stock ID: 124-28912 ,,,,,,,
19-Jun-26 ,2040 N Gray National Iron  FROM HAIDER,,150,150,1430,"214,500",Haider Sahab Iron
,,,,150.00,,"214,500.00",
Stock ID: 124-28913 ,,,,,,,
19-Jun-26 ,350 Kenwood Food Factory,,108,108,8500,"918,000",ATC National Bara Center
,,,,108.00,,"918,000.00",
Stock ID: 124-28914 ,,,,,,,
19-Jun-26 ,3072 Panasonic China Steal Stick,,120,120,2100,"252,000",Raza Khan Ghousia Market
,,,,120.00,,"252,000.00",
Stock ID: 124-28917 ,,,,,,,
19-Jun-26 ,1760 JP Juicer 4in1,,150,150,3950,"592,500",Sitara Trading Company
,,,,150.00,,"592,500.00",
Stock ID: 124-28918 ,,,,,,,
19-Jun-26 ,135 Sogo Insect Kill 40W,,4,4,9200,"36,800",Yaseen Sahab Sogo Walai
,,,,4.00,,"36,800.00",
Stock ID: 124-2894 ,,,,,,,
02-Oct-25 ,20 MO Microwave Oven,,75,75,11450,"858,750",National Distributor
,,,,75.00,,"858,750.00",
Stock ID: 124-28949 ,,,,,,,
19-Jun-26 ,730 panasonic 3in1 Juicer 7025cc,,300,300,0,,Saddam Bhai Jamal Center
,,,,300.00,,0.00,
Stock ID: 124-2895 ,,,,,,,
03-Oct-25 ,5040 Kenwood Air Fryer,,28,28,11500,"322,000",National Distributor
03-Oct-25 ,25 MO Panasonic Microwave Oven,,53,53,19000,"1,007,000",National Distributor
03-Oct-25 ,25 MO Panasonic Microwave Oven,,22,22,19000,"418,000",National Distributor
,,,,103.00,,"1,747,000.00",
Stock ID: 124-28953 ,,,,,,,
20-Jun-26 ,9090 ND National Blender Glass ,,6,6,3045,"18,270",National Distributor
20-Jun-26 ,9092 ND National 1.5L Blender PL,,6,6,2827.5,"16,965",National Distributor
,,,,12.00,,"35,235.00",
Stock ID: 124-28956 ,,,,,,,
20-Jun-26 ,565 Philips Air Fryer,,6,6,13700,"82,200",National Distributor
,,,,6.00,,"82,200.00",
Stock ID: 124-28961 ,,,,,,,
20-Jun-26 ,256 Kenwood Chopper,,8,8,6400,"51,200",National Distributor
20-Jun-26 ,9052 Philips Chopper,,8,8,6400,"51,200",National Distributor
,,,,16.00,,"102,400.00",
Stock ID: 124-28962 ,,,,,,,
20-Jun-26 ,432 Panasonic Blender,,30,30,2500,"75,000",Sitara Trading Company
20-Jun-26 ,124 Panasonic Stick Blender,,18,18,2950,"53,100",Sitara Trading Company
20-Jun-26 ,305 Kenwood Hand Blender,,6,6,3075,"18,450",Sitara Trading Company
,,,,54.00,,"146,550.00",
Stock ID: 124-29 ,,,,,,,
02-Sep-25 ,555 St National Blender,,30,30,1705,"51,150",Sitara Trading Company
,,,,30.00,,"51,150.00",
Stock ID: 124-29021 ,,,,,,,
20-Jun-26 ,222 ND National Juicer,,60,60,7134,"428,040",National Distributor
20-Jun-26 ,2224 ND National 4in1 Juicer,,30,30,7743,"232,290",National Distributor
,,,,90.00,,"660,330.00",
Stock ID: 124-29034 ,,,,,,,
20-Jun-26 ,444 Microwave Oven,,3,3,11400,"34,200",Sitara Traders Micro Deal 
,,,,3.00,,"34,200.00",
Stock ID: 124-29036 ,,,,,,,
20-Jun-26 ,555 FS National Iron,,120,120,1700,"204,000",Shahid Bhai Iron
,,,,120.00,,"204,000.00",
Stock ID: 124-29037 ,,,,,,,
20-Jun-26 ,4 MD Black Dawlance Microwave Oven,,118,118,14300,"1,687,400",Shahbaz Electronics Sialkot
,,,,118.00,,"1,687,400.00",
Stock ID: 124-29038 ,,,,,,,
20-Jun-26 ,Wire Blender Amm,,1400,"1,400",38,"53,200",Imran Wire 
20-Jun-26 ,Wire Computerise Juicer & Blender,,800,800,64,"51,200",Imran Wire 
,,,,"2,200.00",,"104,400.00",
Stock ID: 124-29039 ,,,,,,,
20-Jun-26 ,2040 P Gray Panasonic Iron,,150,150,1430,"214,500",Haider Sahab Iron
,,,,150.00,,"214,500.00",
Stock ID: 124-29040 ,,,,,,,
20-Jun-26 ,7725 Hot Plate,,240,240,3800,"912,000",Raees Ahmad Peer Makki
,,,,240.00,,"912,000.00",
Stock ID: 124-29041 ,,,,,,,
20-Jun-26 ,9092 ND National Blender Glass,,6,6,3045,"18,270",National Distributor
20-Jun-26 ,81 ND National Heavy Weight Iron,,12,12,3306,"39,672",National Distributor
,,,,18.00,,"57,942.00",
Stock ID: 124-29045 ,,,,,,,
20-Jun-26 ,9090 ND National Blender Glass ,,12,12,3045,"36,540",National Distributor
20-Jun-26 ,9092 ND National Blender Glass,,6,6,3045,"18,270",National Distributor
,,,,18.00,,"54,810.00",
Stock ID: 124-2907 ,,,,,,,
03-Oct-25 ,22 AWT Panasonic Japani Iron,,12,12,13300,"159,600",Noshad Rasheed Center
,,,,12.00,,"159,600.00",
Stock ID: 124-2908 ,,,,,,,
03-Oct-25 ,15 MD Dawlance Microwave Oven,,125,125,12000,"1,500,000",Waqas Sialkot
,,,,125.00,,"1,500,000.00",
Stock ID: 124-2909 ,,,,,,,
03-Oct-25 ,1589 Comerical Blender Sliver Crest,,108,108,3700,"399,600",Khan Baba Hall Road
03-Oct-25 ,1589 Comerical Blender Sliver Crest,,36,36,3700,"133,200",Khan Baba Hall Road
,,,,144.00,,"532,800.00",
Stock ID: 124-29091 ,,,,,,,
22-Jun-26 ,9092 ND National Blender Glass,,30,30,3045,"91,350",National Distributor
,,,,30.00,,"91,350.00",
Stock ID: 124-2910 ,,,,,,,
03-Oct-25 ,180 ND National 3in1 Juicer,,15,15,6786,"101,790",National Distributor
,,,,15.00,,"101,790.00",
Stock ID: 124-29100 ,,,,,,,
22-Jun-26 ,901 HAA Air Fryer Digital Double Bucket,,1,1,13000,"13,000",Pak Traders Gujranawala
,,,,1.00,,"13,000.00",
Stock ID: 124-29106 ,,,,,,,
22-Jun-26 ,882 Kenwood Blender,,24,24,2825,"67,800",Sitara Trading Company
,,,,24.00,,"67,800.00",
Stock ID: 124-29107 ,,,,,,,
22-Jun-26 ,532 Kenwood Blender,,60,60,2500,"150,000",Sitara Trading Company
,,,,60.00,,"150,000.00",
Stock ID: 124-2911 ,,,,,,,
03-Oct-25 ,810 DS Air Fryer,,40,40,12500,"500,000",Usman Shanwari
,,,,40.00,,"500,000.00",
Stock ID: 124-29114 ,,,,,,,
22-Jun-26 ,926 ND National Hand Blender,,12,12,4524,"54,288",National Distributor
22-Jun-26 ,925 ND National Hand Blender,,12,12,4350,"52,200",National Distributor
,,,,24.00,,"106,488.00",
Stock ID: 124-2912 ,,,,,,,
03-Oct-25 ,1174 Philips Iron Light Weight,,60,60,1500,"90,000",Shahid Bhai Iron
,,,,60.00,,"90,000.00",
Stock ID: 124-29123 ,,,,,,,
22-Jun-26 ,030 Kenwood Hand Blender,,12,12,4400,"52,800",Sitara Trading Company
,,,,12.00,,"52,800.00",
Stock ID: 124-2913 ,,,,,,,
03-Oct-25 ,18 Kettle China NP ,,20,20,1180,"23,600",Zeeshan NP
,,,,20.00,,"23,600.00",
Stock ID: 124-29139 ,,,,,,,
22-Jun-26 ,881 Kenwood Blender,,66,66,2475,"163,350",Sitara Trading Company
22-Jun-26 ,882 Kenwood Blender,,36,36,2825,"101,700",Sitara Trading Company
,,,,102.00,,"265,050.00",
Stock ID: 124-2914 ,,,,,,,
03-Oct-25 ,602 Russel Hobbs Hot Plate,,208,208,3400,"707,200",Zeeshan NP
,,,,208.00,,"707,200.00",
Stock ID: 124-29140 ,,,,,,,
22-Jun-26 ,3600 National 4in1 Juicer,,75,75,3950,"296,250",Sitara Trading Company
,,,,75.00,,"296,250.00",
Stock ID: 124-29142 ,,,,,,,
20-Jun-26 ,881 Kenwood Blender,,24,24,2475,"59,400",Sitara Trading Company
,,,,24.00,,"59,400.00",
Stock ID: 124-2915 ,,,,,,,
03-Oct-25 ,444 Microwave Oven,,3,3,11500,"34,500",Sitara Traders Micro Deal 
,,,,3.00,,"34,500.00",
Stock ID: 124-29173 ,,,,,,,
23-Jun-26 ,1018 Panasonic Blender 7020 Copper,,430,430,0,,Saddam Bhai Jamal Center
23-Jun-26 ,999 St. 7015 blender,,170,170,0,,Saddam Bhai Jamal Center
,,,,600.00,,0.00,
Stock ID: 124-29174 ,,,,,,,
20-Jun-26 ,1138 MS 3in1 Juicer 7025CC Panasonic,,300,300,0,,Saddam Bhai Jamal Center
,,,,300.00,,0.00,
Stock ID: 124-29177 ,,,,,,,
18-Jun-26 ,555 FS National Iron,,60,60,1700,"102,000",Shahid Bhai Iron
,,,,60.00,,"102,000.00",
Stock ID: 124-29178 ,,,,,,,
20-Jun-26 ,2024 Panasonic Food Factory,,50,50,12000,"600,000",Ibrahim Khan 
20-Jun-26 ,2025 Panasonic Food Factory ,,46,46,9000,"414,000",Ibrahim Khan 
,,,,96.00,,"1,014,000.00",
Stock ID: 124-29179 ,,,,,,,
23-Jun-26 ,1040 GB National Gray Iron,,150,150,1400,"210,000",Haider Sahab Iron
,,,,150.00,,"210,000.00",
Stock ID: 124-2918 ,,,,,,,
03-Oct-25 ,110 RAF Hot Plate,,40,40,3350,"134,000",Sitara Trading Company
,,,,40.00,,"134,000.00",
Stock ID: 124-29180 ,,,,,,,
22-Jun-26 ,9535 Commercial Blender,,4,4,12500,"50,000",Raees Ahmad Peer Makki
22-Jun-26 ,9535 Commercial Blender,,16,16,12500,"200,000",Raees Ahmad Peer Makki
,,,,20.00,,"250,000.00",
Stock ID: 124-29181 ,,,,,,,
23-Jun-26 ,673 ND Air Fryer,,4,4,13485,"53,940",National Distributor
23-Jun-26 ,565 Philips Air Fryer,,56,56,13700,"767,200",National Distributor
,,,,60.00,,"821,140.00",
Stock ID: 124-29186 ,,,,,,,
23-Jun-26 ,360 National 3in1 Juicer,,30,30,3500,"105,000",Sitara Trading Company
23-Jun-26 ,160 National 3in1 Juicer,,45,45,3500,"157,500",Sitara Trading Company
,,,,75.00,,"262,500.00",
Stock ID: 124-29194 ,,,,,,,
23-Jun-26 ,565 Philips Air Fryer,,2,2,13700,"27,400",National Distributor
,,,,2.00,,"27,400.00",
Stock ID: 124-29209 ,,,,,,,
23-Jun-26 ,632 Phi;ips Blender ,,42,42,0,,Sitara Trading Company
,,,,42.00,,0.00,
Stock ID: 124-29226 ,,,,,,,
23-Jun-26 ,15 MD Dawlance Microwave Oven,,120,120,12300,"1,476,000",Shahbaz Electronics Sialkot
,,,,120.00,,"1,476,000.00",
Stock ID: 124-29227 ,,,,,,,
23-Jun-26 ,1040 GB Panasonic Iron Golden,,150,150,1400,"210,000",Haider Sahab Iron
,,,,150.00,,"210,000.00",
Stock ID: 124-29228 ,,,,,,,
23-Jun-26 ,1589 Comerical Blender Sliver Crest,,150,150,3180,"477,000",Shahbaz Khan China Center Hall Road 
,,,,150.00,,"477,000.00",
Stock ID: 124-29229 ,,,,,,,
23-Jun-26 ,Box 555 ST Blender,,600,600,77,"46,200",Ahmad Sahab Printing
23-Jun-26 ,Box 2700 Pan Blender,,944,944,78,"73,632",Ahmad Sahab Printing
,,,,"1,544.00",,"119,832.00",
Stock ID: 124-29230 ,,,,,,,
23-Jun-26 ,GOLDEN JALI ,,150,150,550,"82,500",Raees Ahmad Peer Makki
,,,,150.00,,"82,500.00",
Stock ID: 124-29231 ,,,,,,,
23-Jun-26 ,Thermopore Sheet Juicer 3in1,,600,600,80,"48,000",Atif Electronics Gujranwala
,,,,600.00,,"48,000.00",
Stock ID: 124-2925 ,,,,,,,
03-Oct-25 ,900 Abdullah Kneading Machine,,10,10,8700,"87,000",Imperial Steel National Bara
,,,,10.00,,"87,000.00",
Stock ID: 124-29282 ,,,,,,,
23-Jun-26 ,333 microwave glass door,,2,2,11300,"22,600",Sitara Traders Micro Deal 
,,,,2.00,,"22,600.00",
Stock ID: 124-29283 ,,,,,,,
24-Jun-26 ,333 microwave glass door,,80,80,11300,"904,000",Sitara Traders Micro Deal 
24-Jun-26 ,333 microwave glass door,,20,20,11300,"226,000",Sitara Traders Micro Deal 
,,,,100.00,,"1,130,000.00",
Stock ID: 124-29299 ,,,,,,,
24-Jun-26 ,755 Plastic Kettle ,,960,960,1200,"1,152,000",GM GUJRANALA
24-Jun-26 ,4054 GL Blender 2 IN 1,,246,246,1875,"461,250",GM GUJRANALA
24-Jun-26 ,2525 Juicer 7025 CCA ,,273,273,3400,"928,200",GM GUJRANALA
24-Jun-26 ,Kettle China National,,704,704,790,"556,160",GM GUJRANALA
,,,,"2,183.00",,"3,097,610.00",
Stock ID: 124-29300 ,,,,,,,
23-Jun-26 ,Box 60 MJ Panasonic Blender,,900,900,77,"69,300",Ahmad Sahab Printing
23-Jun-26 ,Box 555 ST Blender,,591,591,77,"45,507",Ahmad Sahab Printing
,,,,"1,491.00",,"114,807.00",
Stock ID: 124-29303 ,,,,,,,
24-Jun-26 ,877 ND National Toaster 4 Slice,,4,4,5046,"20,184",National Distributor
24-Jun-26 ,305 ND National Garment Steamer,,16,16,5568,"89,088",National Distributor
,,,,20.00,,"109,272.00",
Stock ID: 124-29315 ,,,,,,,
24-Jun-26 ,532 Kenwood Blender,,36,36,2500,"90,000",Sitara Trading Company
,,,,36.00,,"90,000.00",
Stock ID: 124-29317 ,,,,,,,
23-Jun-26 ,408 Panasonic Sandwich Maker,,22,22,1900,"41,800",Imran Mustafai Gujranwala
,,,,22.00,,"41,800.00",
Stock ID: 124-29330 ,,,,,,,
20-Jun-26 ,0426 RAF Hot Plate,,180,180,4200,"756,000",Zeeshan NP
,,,,180.00,,"756,000.00",
Stock ID: 124-29391 ,,,,,,,
29-Jun-26 ,217 ND National kettle 1.7 L,,24,24,3132,"75,168",National Distributor
29-Jun-26 ,218 ND National Kettle 2.5 L,,24,24,3132,"75,168",National Distributor
,,,,48.00,,"150,336.00",
Stock ID: 124-29398 ,,,,,,,
29-Jun-26 ,2224 ND National 4in1 Juicer,,15,15,7743,"116,145",National Distributor
,,,,15.00,,"116,145.00",
Stock ID: 124-29399 ,,,,,,,
29-Jun-26 ,81 ND National Heavy Weight Iron,,12,12,3306,"39,672",National Distributor
29-Jun-26 ,873 ND AIR FRYER,,2,2,12789,"25,578",National Distributor
29-Jun-26 ,650 ND National Chopper,,4,4,5655,"22,620",National Distributor
29-Jun-26 ,308 ND National Steam Iron,,10,10,3480,"34,800",National Distributor
,,,,28.00,,"122,670.00",
Stock ID: 124-29400 ,,,,,,,
29-Jun-26 ,1501 Min Max Electric Tandor ,,24,24,9000,"216,000",Khan Baba Hall Road
29-Jun-26 ,1501 Min Max Electric Tandor ,,36,36,9000,"324,000",Khan Baba Hall Road
,,,,60.00,,"540,000.00",
Stock ID: 124-29420 ,,,,,,,
29-Jun-26 ,565 Philips Air Fryer,,56,56,13700,"767,200",National Distributor
,,,,56.00,,"767,200.00",
Stock ID: 124-29421 ,,,,,,,
29-Jun-26 ,674 ND National Air Fryer,,4,4,13485,"53,940",National Distributor
,,,,4.00,,"53,940.00",
Stock ID: 124-29429 ,,,,,,,
29-Jun-26 ,405 Sandwich Maker,,250,250,2000,"500,000",Asif Noori Sahab
,,,,250.00,,"500,000.00",
Stock ID: 124-29430 ,,,,,,,
29-Jun-26 ,3072 Panasonic China Steal Stick,,240,240,2050,"492,000",Raza Khan Ghousia Market
29-Jun-26 ,3072 Panasonic China Steal Stick,,72,72,2050,"147,600",Raza Khan Ghousia Market
,,,,312.00,,"639,600.00",
Stock ID: 124-29431 ,,,,,,,
29-Jun-26 ,290 ND National Chopper 3 Ltr,,8,8,3480,"27,840",National Distributor
29-Jun-26 ,43 HM ND National Hand Blender,,12,12,3132,"37,584",National Distributor
29-Jun-26 ,4480 Chopper 3 Ltr,,8,8,2200,"17,600",National Distributor
,,,,28.00,,"83,024.00",
Stock ID: 124-29432 ,,,,,,,
29-Jun-26 ,1055 ND National Hot Plate,,80,80,5568,"445,440",National Distributor
,,,,80.00,,"445,440.00",
Stock ID: 124-29433 ,,,,,,,
29-Jun-26 ,2 TON Midea Xtreme Plus Air Conditioner,,2,2,208000,"416,000",Farukh Bhai Dawlance 
,,,,2.00,,"416,000.00",
Stock ID: 124-29447 ,,,,,,,
29-Jun-26 ,9098 ND National Blender 1.5L,,6,6,3001.5,"18,009",National Distributor
29-Jun-26 ,9097 ND National Blender Plastic,,6,6,2827.5,"16,965",National Distributor
,,,,12.00,,"34,974.00",
Stock ID: 124-29450 ,,,,,,,
29-Jun-26 ,446 St National Juicer,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-29452 ,,,,,,,
29-Jun-26 ,763 ND National Food Processor,,2,2,9222,"18,444",National Distributor
,,,,2.00,,"18,444.00",
Stock ID: 124-29457 ,,,,,,,
29-Jun-26 ,317 Panasonic Iron,,10,10,5500,"55,000",Qazzafi Electronics 
,,,,10.00,,"55,000.00",
Stock ID: 124-2948 ,,,,,,,
03-Oct-25 ,A 27 Sanyo Dish Heater,,1,1,8000,"8,000",Shahid Sahab Haseeb Traders
,,,,1.00,,"8,000.00",
Stock ID: 124-29494 ,,,,,,,
30-Jun-26 ,9097 ND National Blender Glass,,18,18,3045,"54,810",National Distributor
30-Jun-26 ,9092 ND National Blender Glass,,24,24,3045,"73,080",National Distributor
30-Jun-26 ,9090 ND National Blender Glass ,,18,18,3045,"54,810",National Distributor
,,,,60.00,,"182,700.00",
Stock ID: 124-29505 ,,,,,,,
29-Jun-26 ,301 Kenwood Hot Plate,,80,80,3350,"268,000",Sitara Trading Company
,,,,80.00,,"268,000.00",
Stock ID: 124-29506 ,,,,,,,
24-Jun-26 ,176 7030 cooper Panasonic Juicer 3in1 ,,240,240,0,,Saddam Bhai Jamal Center
,,,,240.00,,0.00,
Stock ID: 124-29507 ,,,,,,,
27-Jun-26 ,176 HS Panasonic 3in1 Juicer 7025CC,,210,210,0,,Saddam Bhai Jamal Center
,,,,210.00,,0.00,
Stock ID: 124-29508 ,,,,,,,
29-Jun-26 ,592 7020 Copper Panasonic Blender,,300,300,0,,Saddam Bhai Jamal Center
,,,,300.00,,0.00,
Stock ID: 124-29518 ,,,,,,,
30-Jun-26 ,620 ND National Food Factory 8in1,,10,10,12354,"123,540",National Distributor
,,,,10.00,,"123,540.00",
Stock ID: 124-29523 ,,,,,,,
30-Jun-26 ,MO-200 Sandwich Maker Panasonic,,16,16,2600,"41,600",Sitara Trading Company
,,,,16.00,,"41,600.00",
Stock ID: 124-29524 ,,,,,,,
30-Jun-26 ,1589 Comerical Blender Sliver Crest,,150,150,3180,"477,000",Shahbaz Khan China Center Hall Road 
,,,,150.00,,"477,000.00",
Stock ID: 124-29525 ,,,,,,,
30-Jun-26 ,34G-KB 8in1 Commercial Blender,,60,60,7500,"450,000",Abid Bhai Seco 
,,,,60.00,,"450,000.00",
Stock ID: 124-29526 ,,,,,,,
30-Jun-26 ,1055 ND National Hot Plate,,88,88,5568,"489,984",National Distributor
,,,,88.00,,"489,984.00",
Stock ID: 124-29527 ,,,,,,,
30-Jun-26 ,2575 China Egg Beater,,150,150,970,"145,500",Shahid Sahab Haseeb Traders
,,,,150.00,,"145,500.00",
Stock ID: 124-29541 ,,,,,,,
30-Jun-26 ,503 Panasonic Hot Plate,,32,32,3300,"105,600",Sitara Trading Company
30-Jun-26 ,403 Philips Hot Plate,,16,16,3350,"53,600",Sitara Trading Company
30-Jun-26 ,323 Kenwood Hand Blender Stick,,6,6,2950,"17,700",Sitara Trading Company
30-Jun-26 ,403 Philips Hot Plate,,24,24,3350,"80,400",Sitara Trading Company
30-Jun-26 ,503 Panasonic Hot Plate,,8,8,3300,"26,400",Sitara Trading Company
,,,,86.00,,"283,700.00",
Stock ID: 124-29582 ,,,,,,,
29-Jun-26 ,Switch Paino,,1344,"1,344",90,"120,960",Raees Ahmad Peer Makki
,,,,"1,344.00",,"120,960.00",
Stock ID: 124-29583 ,,,,,,,
29-Jun-26 ,Kaim 3in1 Juicer,,2000,"2,000",82,"164,000",Babar Bhai Kaim
,,,,"2,000.00",,"164,000.00",
Stock ID: 124-29584 ,,,,,,,
30-Jun-26 ,GOLDEN JALI ,,300,300,550,"165,000",Raees Ahmad Peer Makki
,,,,300.00,,"165,000.00",
Stock ID: 124-29585 ,,,,,,,
30-Jun-26 ,1571 MX Blender,,90,90,2525,"227,250",Sitara Trading Company
30-Jun-26 ,910 NS Blender,,66,66,1925,"127,050",Sitara Trading Company
30-Jun-26 ,310 Kenwood Blender,,90,90,1925,"173,250",Sitara Trading Company
30-Jun-26 ,871 Kenwood Blender,,90,90,2525,"227,250",Sitara Trading Company
,,,,336.00,,"754,800.00",
Stock ID: 124-29586 ,,,,,,,
30-Jun-26 ,Wire Blender Amm,,1400,"1,400",38,"53,200",Imran Wire 
30-Jun-26 ,Wire Computerise Juicer & Blender,,800,800,64,"51,200",Imran Wire 
,,,,"2,200.00",,"104,400.00",
Stock ID: 124-29587 ,,,,,,,
30-Jun-26 ,1760 JP Juicer 4in1,,150,150,3950,"592,500",Sitara Trading Company
30-Jun-26 ,500012 L Philips Air Fryer,,24,24,13800,"331,200",Sitara Trading Company
,,,,174.00,,"923,700.00",
Stock ID: 124-29588 ,,,,,,,
24-Jun-26 ,Box ST 113 Iron ,,1078,"1,078",62,"66,836",Azhar Printing Press
,,,,"1,078.00",,"66,836.00",
Stock ID: 124-29605 ,,,,,,,
01-Jul-26 ,1055 ND National Hot Plate,,40,40,5568,"222,720",National Distributor
,,,,40.00,,"222,720.00",
Stock ID: 124-29613 ,,,,,,,
01-Jul-26 ,9030 ND National Blender 2 Ltr,,6,6,7395,"44,370",National Distributor
01-Jul-26 ,9040 ND National Blender 2 Ltr,,6,6,6699,"40,194",National Distributor
01-Jul-26 ,9097 ND National Blender Plastic,,12,12,2827.5,"33,930",National Distributor
,,,,24.00,,"118,494.00",
Stock ID: 124-29620 ,,,,,,,
01-Jul-26 ,300 Kenwood Hot Plate,,40,40,3350,"134,000",Sitara Trading Company
01-Jul-26 ,403 Philips Hot Plate,,40,40,3350,"134,000",Sitara Trading Company
,,,,80.00,,"268,000.00",
Stock ID: 124-29621 ,,,,,,,
01-Jul-26 ,323 Kenwood Hand Blender Stick,,150,150,2950,"442,500",Sitara Trading Company
,,,,150.00,,"442,500.00",
Stock ID: 124-29627 ,,,,,,,
01-Jul-26 ,960 Y China Hitachi Vacuum Cleaner,,5,5,8700,"43,500",National Distributor
,,,,5.00,,"43,500.00",
Stock ID: 124-29640 ,,,,,,,
01-Jul-26 ,673 ND Air Fryer,,2,2,13485,"26,970",National Distributor
,,,,2.00,,"26,970.00",
Stock ID: 124-29680 ,,,,,,,
01-Jul-26 ,06 Kenwood Sandwich Maker,,60,60,2800,"168,000",Ibrahim Khan 
,,,,60.00,,"168,000.00",
Stock ID: 124-29698 ,,,,,,,
01-Jul-26 ,336 Kenwood Hot Plate,,80,80,3700,"296,000",Sitara Trading Company
,,,,80.00,,"296,000.00",
Stock ID: 124-2970 ,,,,,,,
04-Oct-25 ,9090 ND National Blender Glass ,,12,12,2915,"34,980",National Distributor
,,,,12.00,,"34,980.00",
Stock ID: 124-29717 ,,,,,,,
02-Jul-26 ,532 Kenwood Blender,,6,6,2500,"15,000",Sitara Trading Company
02-Jul-26 ,432 Panasonic Blender,,30,30,2500,"75,000",Sitara Trading Company
,,,,36.00,,"90,000.00",
Stock ID: 124-29718 ,,,,,,,
01-Jul-26 ,820 ST National Chopper,,56,56,5100,"285,600",National Distributor
,,,,56.00,,"285,600.00",
Stock ID: 124-29719 ,,,,,,,
02-Jul-26 ,552 ND National Chopper,,36,36,5307,"191,052",National Distributor
02-Jul-26 ,650 ND National Chopper,,20,20,5655,"113,100",National Distributor
,,,,56.00,,"304,152.00",
Stock ID: 124-29720 ,,,,,,,
02-Jul-26 ,06 Kenwood Sandwich Maker,,50,50,2800,"140,000",Ibrahim Khan 
02-Jul-26 ,06 Kenwood Sandwich Maker,,450,450,2800,"1,260,000",Ibrahim Khan 
,,,,500.00,,"1,400,000.00",
Stock ID: 124-29721 ,,,,,,,
02-Jul-26 ,4440 ST National Juicer 900 Watts,,300,300,0,,Saddam Bhai Jamal Center
,,,,300.00,,0.00,
Stock ID: 124-29722 ,,,,,,,
02-Jul-26 ,1304 Panasonic Hand Blender Stick,,150,150,3050,"457,500",Sitara Trading Company
02-Jul-26 ,500012 L Philips Air Fryer,,52,52,13800,"717,600",Sitara Trading Company
02-Jul-26 ,323 Kenwood Hand Blender Stick,,144,144,2950,"424,800",Sitara Trading Company
